11522_tx_dyn1,20,0.0076511094108645756
11522_tx_ynyn0d1,20,0.0076511094108645756
115_1way_ds_w_motor,176,0.06732976281560826
115_3ways_ds_w_motor,43,0.016449885233358837
115_breaker,96,0.036725325172149964
115_buffer,20,0.0076511094108645756
115_cvt_1p,20,0.0076511094108645756
115_cvt_3p,20,0.0076511094108645756
115_ds,20,0.0076511094108645756
115_gs,20,0.0076511094108645756
115_gs_w_motor,51,0.019510328997704666
115_la,101,0.0386381025248661
115_vt_1p,20,0.0076511094108645756
115_vt_3p,37,0.014154552410099464
22_breaker,204,0.07804131599081866
22_cap_bank,24,0.009181331293037491
22_ds,25,0.009563886763580718
22_ds_la_out,134,0.051262433052792655
22_gs,221,0.08454475899005356
22_ll,224,0.08569242540168324
22_vt_3p,29,0.011094108645753635
BCU,20,0.0076511094108645756
DIM,70,0.026778882938026015
DPM,141,0.05394032134659526
LL,137,0.05241009946442234
MU,24,0.009181331293037491
NGR_future,26,0.009946442234123947
Q,25,0.009563886763580718
remote_io_module,20,0.0076511094108645756
ss_man_mode,41,0.01568477429227238
tele_protection,20,0.0076511094108645756
terminator_double,91,0.03481254781943382
terminator_single,225,0.08607498087222647
terminator_splicing_kits,20,0.0076511094108645756
terminator_w_future,176,0.06732976281560826
v_m,33,0.01262433052792655
v_m_digital,20,0.0076511094108645756
